ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
723-49-6326|4702895171870260|Shelby|Booker|F|4596 Melissa Walk|Chesapeake|VA|23322|36.6434|-76.242|222272|Social research officer, government|1960-02-03|688554816658|adults_50up_female_urban.json
894-70-0589|3534316117240050|Robert|Carter|M|2386 George Common Suite 937|Elyria|OH|44035|41.3724|-82.1051|64263|Television production assistant|1957-08-08|254017756402|adults_50up_male_urban.json
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json
225-82-3116|3521047095214560|Christopher|Anderson|M|842 Sloan Orchard Suite 517|Rockford|IL|61102|42.2547|-89.1247|189162|Call centre manager|1980-12-27|829533234908|adults_2550_male_urban.json
881-87-6512|180016048175499|Jane|Little|F|37098 Herman Forges Apt. 746|Salt Lake City|UT|84118|40.6504|-112.0054|594043|Commercial horticulturist|1956-09-04|47844977968|adults_50up_female_urban.json
312-64-1903|2248267586926175|Luis|Crosby|M|53773 Garcia Spur Suite 850|Rochester|NY|14616|43.2346|-77.6577|478127|Occupational therapist|1957-04-07|207343331995|adults_50up_male_urban.json
869-59-1502|4900532931839331|Gary|Hernandez|M|2284 Daniel Way|Bryan|TX|77803|30.6913|-96.3714|89322|Agricultural engineer|1984-02-27|13450992449|adults_2550_male_urban.json
809-31-9648|342402681177585|Kevin|Hayes|M|084 Schneider Burgs|Toledo|OH|43606|41.6712|-83.606|316948|Biochemist, clinical|1997-03-10|528274907582|adults_2550_male_urban.json
437-88-1769|38115921249985|Michael|James|M|8961 Melissa Run Apt. 673|Marietta|GA|30008|33.8972|-84.592|302309|Patent attorney|1995-08-31|907693799652|adults_2550_male_urban.json
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Washington|DC|20009|38.9202|-77.0375|601723|Management consultant|1980-06-06|631805153549|adults_2550_female_urban.json
218-20-7901|4585149368991|Megan|Hawkins|F|24455 Howard Divide Suite 120|Conover|NC|28613|35.7313|-81.2165|22759|Chemist, analytical|1967-04-06|583025110578|adults_50up_female_urban.json
386-54-7433|345459910229014|Dillon|Stanley|M|764 Kari Crescent Suite 614|Plainfield|IL|60544|41.6009|-88.1994|94521|Therapist, horticultural|2007-04-27|577615689420|young_adults_male_urban.json
316-06-3613|6011034324451072|Paul|Thompson|M|388 Jones Wall Apt. 607|Williston|FL|32696|29.3977|-82.4856|12071|Careers adviser|1933-09-12|347300118003|adults_50up_male_urban.json
440-74-6627|3541605297516136|Jeffrey|Morales|M|4535 Charles Roads|Ubly|MI|48475|43.6896|-82.964|2766|Clothing/textile technologist|2004-08-04|560624678846|young_adults_male_urban.json
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json
473-58-0617|584119986795|Kristen|Conner|F|9359 Mason Circle|Hagerstown|MD|21742|39.6573|-77.6921|95186|Production designer, theatre/television/film|1954-07-24|889502767451|adults_50up_female_urban.json
732-11-8267|4037788925546656|Meghan|Williams|F|51864 Cummings Shoals Apt. 519|Weston|FL|33327|26.1136|-80.417|53915|Counsellor|1935-09-08|386189485379|adults_50up_female_urban.json
672-90-6422|4486528168505423|Trevor|Peterson|M|32214 William Plains Apt. 592|Torrance|CA|90504|33.8708|-118.3295|174353|Therapist, speech and language|1950-07-22|169121724065|adults_50up_male_urban.json
186-89-2713|3506537947383471|Stuart|Lee|M|4688 Burch Viaduct Apt. 924|Madison|AL|35756|34.643|-86.8168|63731|Associate Professor|1977-07-09|531034820387|adults_2550_male_urban.json
568-14-8453|2261247826137504|Jennifer|Sanders|F|61530 Galvan Villages Suite 220|Gardena|CA|90247|33.8925|-118.2961|84103|Historic buildings inspector/conservation officer|1953-08-18|914473253283|adults_50up_female_urban.json
